Designator,Mid X,Mid Y,Rotation,Layer
C1,148.2,-65.1,90.0,top
C2,141.375,-64.4,0.0,top
C3,148.975,-87.85,180.0,top
C4,144.175,-94.25,90.0,top
C5,141.0,-81.0,270.0,top
C6,134.4,-81.0,270.0,top
C7,174.7,-75.7,180.0,top
C8,174.7,-70.8,180.0,top
D1,144.975,-89.65,180.0,top
D2,135.7,-85.6,180.0,top
H1,177.5,-81.0,0.0,top
H3,135.8,-163.1,0.0,top
J1,134.743686,-71.566741,270.0,top
J2,134.0,-91.2,270.0,top
J3,136.5,-106.925,270.0,top
J4,136.5,-127.925,270.0,top
J5,136.5,-148.925,270.0,top
J6,174.1,-66.705,180.0,top
Q1,139.8,-90.6,180.0,top
R1,170.0,-76.925,90.0,top
R10,138.8,-84.6,90.0,top
R11,135.7,-83.8,0.0,top
R12,143.0,-109.5,270.0,top
R13,143.0,-130.5,270.0,top
R14,143.0,-151.525,270.0,top
R15,174.3925,-88.9375,90.0,top
R16,176.6,-92.5,90.0,top
R17,176.6,-96.975,270.0,top
R2,170.0,-73.825,270.0,top
R20,172.6,-134.4,270.0,top
R21,170.8,-134.4,90.0,top
R24,165.2,-137.725,90.0,top
R25,144.327497,-70.960433,0.0,top
R26,144.323432,-72.613815,0.0,top
R3,161.45,-85.0,0.0,top
R4,164.6,-85.0,180.0,top
R5,141.4,-66.5,180.0,top
R6,141.325991,-69.485908,90.0,top
R7,141.35531,-74.131346,270.0,top
R8,144.975,-91.55,0.0,top
R9,142.175,-94.25,270.0,top
SW1,171.6,-83.0,180.0,top
SW2,145.0,-66.0,0.0,top
U1,159.25,-69.83,0.0,top
U10,174.5,-108.4,270.0,top
U11,150.5,-124.4,270.0,top
U12,158.5,-124.4,270.0,top
U13,166.38,-124.4,270.0,top
U14,174.38,-124.4,270.0,top
U15,159.4,-135.5,90.0,top
U16,150.38,-147.42,270.0,top
U17,158.38,-147.42,270.0,top
U18,166.38,-147.42,270.0,top
U19,174.38,-147.42,270.0,top
U2,146.252877,-76.789555,90.0,top
U20,150.38,-163.42,270.0,top
U21,158.38,-163.42,270.0,top
U22,166.38,-163.42,270.0,top
U23,174.38,-163.42,270.0,top
U3,148.975,-90.65,180.0,top
U4,137.7,-81.0,0.0,top
U5,174.7,-73.2,180.0,top
U6,170.7,-94.7,90.0,top
U7,150.5,-108.4,270.0,top
U8,158.5,-108.4,270.0,top
U9,166.5,-108.4,270.0,top
